datetime,generation_biomass,generation_fossil_brown_coal/lignite,generation_fossil_gas,generation_fossil_hard_coal,generation_fossil_oil,generation_hydro_pumped_storage_consumption,generation_hydro_run-of-river_and_poundage,generation_hydro_water_reservoir,generation_nuclear,generation_other,generation_other_renewable,generation_solar,generation_waste,generation_wind_onshore,total_load_actual,temp,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,rain_1h,clouds_all,is_rain
2017-06-07,9485.0,19041.0,203121.0,138175.0,7988.0,7936.0,17091.0,25118.0,142888.0,1392.0,2184.0,21988.0,7836.0,127008.0,738511.0,294.78291666666667,293.93333333333334,295.7083333333333,1019.1333333333333,58.05,1.775,142.375,0.0025,16.858333333333334,0.008333333333333333
2017-06-08,8198.0,9669.0,116894.0,52619.0,6100.0,22064.0,14126.0,21605.0,164792.0,747.0,2239.0,56972.0,6989.0,178768.0,646500.0,296.4955,295.375,297.6166666666667,1015.7416666666667,57.94166666666667,2.325,143.34166666666667,0.007500000000000001,9.45,0.008333333333333333
2017-06-09,9602.0,14627.0,166205.0,79519.0,8051.0,1987.0,11120.0,28395.0,163375.0,1360.0,2263.0,49754.0,7916.0,150599.0,749317.0,296.06123966942147,295.38140495867765,296.8111570247933,1015.6363636363636,61.082644628099175,2.2148760330578514,133.36363636363637,0.022314049586776862,19.09917355371901,0.049586776859504134
2017-06-10,8256.0,10117.0,190881.0,116440.0,8091.0,3554.0,9477.0,15416.0,142951.0,1183.0,2307.0,43703.0,7409.0,175791.0,707696.0,297.31441666666666,296.39166666666665,298.21666666666664,1017.0916666666667,57.5,1.7416666666666667,150.46666666666667,0.0,8.125,0.0
2017-06-11,8468.0,12158.0,189375.0,115360.0,7266.0,13065.0,10215.0,13722.0,120690.0,1185.0,2057.0,32919.0,6268.0,197879.0,675665.0,298.5084166666667,297.525,299.475,1016.9666666666667,51.483333333333334,1.8666666666666667,164.7,0.0,11.15,0.0
2017-06-12,8637.0,23467.0,294792.0,156329.0,7874.0,2621.0,12331.0,44332.0,145750.0,1353.0,2479.0,23495.0,7400.0,59467.0,723382.0,298.8864166666666,298.10833333333335,299.675,1016.3166666666667,48.56666666666667,2.125,127.15,0.0125,16.216666666666665,0.041666666666666664
2017-06-13,6768.0,5820.0,180732.0,147574.0,7274.0,3558.0,20549.0,40537.0,144642.0,1255.0,2375.0,58980.0,6674.0,110268.0,777198.0,298.86575,297.7916666666667,299.8333333333333,1013.7666666666667,48.975,2.2333333333333334,145.425,0.0,5.075,0.0
2017-06-14,7284.0,0.0,226419.0,156761.0,6942.0,6.0,20537.0,61404.0,144321.0,1228.0,2256.0,57401.0,7070.0,51540.0,791490.0,299.01099173553723,297.7946280991735,300.15,1014.1735537190083,52.50413223140496,2.165289256198347,155.0909090909091,0.007438016528925619,11.239669421487603,0.01652892561983471
2017-06-15,7801.0,1241.0,215496.0,161031.0,7542.0,3665.0,19366.0,41741.0,144148.0,1171.0,2326.0,53539.0,7475.0,84762.0,795862.0,299.22495867768595,298.4640495867768,299.9929752066115,1016.7768595041322,53.54545454545455,2.0661157024793386,179.39669421487602,0.01487603305785124,16.65289256198347,0.008264462809917356
2017-06-16,7809.0,146.0,205093.0,149321.0,7869.0,6496.0,19746.0,44562.0,144147.0,1262.0,2299.0,52117.0,7375.0,120369.0,795973.0,300.32595041322315,299.4557851239669,301.0838842975206,1019.7355371900826,54.71900826446281,1.859504132231405,119.03305785123968,0.004958677685950413,16.00826446280992,0.008264462809917356
